Class;DesignRole;Approaches;Method;LOC;CC;Efferent;NOP;Smell;
br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqChequeDevolvido;BACKGROUNDPROCESS; R, D ;getChdChequeDevolvidoAtual;23;2;9;4;Muitos Parâmetros
br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;CONSULTAAVANCADATRANSBASE; R, D ;montaFiltroIntervaloData;198;43;7;1;Muitos Desvios
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R ;atribuirDetalheDAEToSource;95;48;3;3;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;exibirCamposDesmembramentoDAE;96;50;11;2;Muitos Desvios
br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;TRANSACAO; R, D ;verificarAlteracaoDAE;409;196;17;1;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeRegimeTributacao;ENTITY; D ;setDtFimVigencia;4;2;3;1;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;alterarItensDED;103;113;9;5;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;gerarLinhaDigitavel;8;1;4;4;Muitos Parâmetros
br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroA;REGISTROMOVCONSOLIDADO; R, D ;validar;73;22;12;1;Muitos Desvios
br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;PERSISTENCE; D ;registrarHistoricoCustodial;13;9;6;8;Muitos Desvios
br.gov.se.sefaz.sae.dao.isencaoTributos.DAOIsencaoTributosSQLBean;PERSISTENCE; R, D ;baixaIsencao;9;1;5;5;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemICMSContribuinteInscrito;TRANSACAO; R, D ;initialize;255;55;9;0;Método Longo
br.gov.se.sefaz.sae.ne.ValorCampoLayout;ENTITY; D ;getValorCampoLayoutNomeEmpresa;5;2;5;2;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.talonario.to.alterar.AlterarTalaoDAEManual;TRANSACAO; R ;process;50;6;19;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R, D ;atribuirItemReceitaOutroOrgao;69;28;8;3;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;GERENCIADORBASE; R, D ;registrarInclusaoCheque;49;16;18;2;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.isencaoTributos.to.certidaoIPVA.CertidaoBase;TRANSACAO; R, D ;adequaDocSaida;21;4;3;4;Muitos Parâmetros
br.gov.se.sefaz.sae.ne.EntidadeIsencaoVeiculo;ENTITY; D ;setTpIsencao;4;3;2;1;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;[CONSTANTES]; R, D ;registrarHistoricoCustodialFormaRecolhimento;19;4;9;6;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.reemissao.ReemitirAntecipacaoMensal;TRANSACAO; R, D ;process;88;14;20;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.ne.EntidadeMotivoDAEManual;ENTITY; D ;setDsMotivo;5;3;2;1;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeConvenioProdutoGNRE;ENTITY; D ;getEntidadeConvenio;4;2;2;0;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;alterarDadosDAE;421;194;18;2;Método Longo
br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;CONSULTAAVANCADATRANSBASE; R, D ;montaFiltroDocumento;96;24;7;1;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;GERENCIADORBASE; R, D ;registrarAlteracaoCheque;67;27;8;8;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;GERENCIADORBASE; R, D ;registrarHistoricoChequeDevolvido;19;2;7;5;Muitos Parâmetros
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;GNRE; R, D ;registrarRecolhimentoGNRE;68;12;24;6;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.isencaoTributos.to.TransacaoIsencaoTributosBase;TRANSACAO; R, D ;montarDocumentoMantab;36;9;10;8;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemICMSContribuinteInscrito;TRANSACAO; R, D ;process;103;59;15;0;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;registrarAlteracaoDAS;124;27;17;3;Muitos Desvios
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;GNRE; R, D ;validarDadosGNREDesmembramento;51;24;16;3;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;exibirCamposDesmembramentoGNRE;126;77;14;2;Muitos Desvios
br.gov.se.sefaz.sae.tb.arquivo.ReceberArquivo;BACKGROUNDPROCESS; R ;run;114;24;11;0;Método Longo
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivosNaoEnviadosPeloBanco;TRANSACAO; R ;process;91;26;18;0;Muitos Desvios
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R, D ;atribuirPropiedadesItemDaeICMSContribuiteInscritoEspecial;193;33;11;2;Método Longo
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R, D ;concatenarCampos;196;71;24;2;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.oper.to.desmembramento.itemDae.InserirItemDesmembramentoDAE;TRANSACAO; R ;process;28;23;7;0;Muitos Desvios
br.gov.se.sefaz.sae.oper.to.alteracao.dae.AlterarDAE;TRANSACAO; R, D ;process;96;28;23;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.emissaoDAE.to.viaEletronicaDAEManual.ConsultarContribuinteDAEManual;TRANSACAO; R ;process;118;40;19;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;exibirCamposDesmembramentoGNRE;126;77;14;2;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;gravaConfirmacaoRepasse;24;7;9;7;Muitos Parâmetros
