Classe;DesignRole;NOM;LOCC;Concorda?;
br.gov.se.sefaz.deh.to.mensagemcomunicado.ExibirComunicadosNaoPublicados;TRANSACAO;1;26;SIM;
br.gov.se.sefaz.deh.to.testes.TestarIntegracaoPublicarMensagem;TRANSACAO;1;4;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciamentoEmitirTermoUtilizacao;TRANSACAO;1;12;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.AnexarArquivo;TRANSACAO;1;24;SIM;
br.gov.se.sefaz.deh.to.categoria.InserirCategoria;TRANSACAO;1;18;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.InserirComunicado;TRANSACAO;2;36;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.parametros.TransacaoParametroDomicilio;TRANSACAO;6;40;SIM;
br.gov.se.sefaz.deh.to.credenciamento.GerarPlanilhaRelatorioCredenciamento;TRANSACAO;2;30;SIM;
br.gov.se.sefaz.deh.to.documentoPossivel.ExcluirDocumentoPossivel;TRANSACAO;2;20;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.CadastrarProtocoloDigitalizacaoInformarDados;TRANSACAO;2;57;SIM;
br.gov.se.sefaz.deh.to.tributo.AlterarTributo;TRANSACAO;2;49;SIM;
br.gov.se.sefaz.deh.to.contatoexoficio.ListarEnderecoContatosConsultaExterna;TRANSACAO;3;67;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocProtocoloExcluirDocumento;TRANSACAO;2;48;SIM;
br.gov.se.sefaz.deh.to.diarioEletronico.ExibirDetalhesConsultaDiarioEletronico;TRANSACAO;3;87;SIM;
br.gov.se.sefaz.deh.to.diarioEletronico.parametros.InserirParametroDiario;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.ListarComunicado;TRANSACAO;1;31;SIM;
br.gov.se.sefaz.deh.to.origem.InserirOrigem;TRANSACAO;1;18;SIM;
br.gov.se.sefaz.deh.to.credenciamento.HabilitarExOficioExportarNotificacao;TRANSACAO;2;13;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciamentoAlterarDadosEmpresa;TRANSACAO;7;278;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.parametros.AlterarParametroDomicilio;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.deh.to.credenciamento.HabilitarExOficioHabilitarDomicilio;TRANSACAO;3;108;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocUsuarioDEHTramitarProcesso;TRANSACAO;2;88;SIM;
br.gov.se.sefaz.deh.to.origem.ExcluirOrigem;TRANSACAO;2;30;SIM;
br.gov.se.sefaz.deh.to.abas.ConjuntoAbasCaixaPostal;ABAS;1;5;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocProtocoloInformarProtocolo;TRANSACAO;1;17;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.AnexarArquivoPublicoAlvo;TRANSACAO;1;150;SIM;
br.gov.se.sefaz.deh.to.permissaocomunicado.ListarPermissaoComunicado;TRANSACAO;1;35;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciamentoListarEmpresas;TRANSACAO;2;75;SIM;
br.gov.se.sefaz.deh.to.contatoexoficio.ExibirEnderecoContato;TRANSACAO;2;45;SIM;
br.gov.se.sefaz.deh.to.documentoPossivel.InserirDocumentoPossivel;TRANSACAO;1;16;SIM;
br.gov.se.sefaz.deh.to.TransacaoMantab;TRANSACAO;3;117;SIM;
br.gov.se.sefaz.deh.to.abas.AbasCaixaPostalBase;ABAS;1;13;SIM;
br.gov.se.sefaz.deh.to.util.ExibirImagemArquivo;TRANSACAO;1;7;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciamentoAlterarDadosSocio;TRANSACAO;2;131;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.ExibirMensagem;TRANSACAO;4;203;SIM;
br.gov.se.sefaz.deh.to.diarioEletronico.parametros.TransacaoParametroDiario;TRANSACAO;6;51;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciamentoValidarTipoContribuinteLogado;TRANSACAO;1;57;SIM;
br.gov.se.sefaz.deh.to.credenciamento.HabilitarExOficioListarEmpresas;TRANSACAO;1;41;SIM;
br.gov.se.sefaz.deh.to.categoria.ExcluirCategoria;TRANSACAO;2;30;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciarDHExOficioValidarIdentificacao;TRANSACAO;2;45;SIM;
br.gov.se.sefaz.deh.to.TransacaoDEH;TRANSACAO;32;602;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.PublicarComunicado;TRANSACAO;2;85;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.parametros.ListarParametroDomicilio;TRANSACAO;1;50;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.ExibirCaixaPostalNaoLidos;TRANSACAO;2;48;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocProtocoloSelecionarDocumentoPossivel;TRANSACAO;3;111;SIM;
br.gov.se.sefaz.deh.to.contatoexoficio.AlterarContato;TRANSACAO;2;62;SIM;
br.gov.se.sefaz.deh.to.origem.AlterarOrigem;TRANSACAO;2;49;SIM;
br.gov.se.sefaz.deh.to.procuradorcaixapostal.InserirEstabelecimento;TRANSACAO;4;119;SIM;
br.gov.se.sefaz.deh.to.estagioProcDocumento.ListarEstagioProcDocumento;TRANSACAOMANTAB;1;4;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.parametros.InserirParametroDomicilio;TRANSACAO;1;10;SIM;
br.gov.se.sefaz.deh.to.estagioProcDocumento.ObterEstagioProcDocumento;TRANSACAO;2;16;SIM;
br.gov.se.sefaz.deh.to.abas.AbasComunicadoBase;ABAS;0;0;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.ReimprimirProtocoloInformarDocumento;TRANSACAO;1;13;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciarDHExOficioAlterarDadosSocio;TRANSACAO;2;83;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocSelecionarDocumentoPossivel;TRANSACAO;3;223;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.ConsultaExibirMensagem;TRANSACAO;2;72;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.ExcluirProtocoloDigitalizacao;TRANSACAO;2;31;SIM;
br.gov.se.sefaz.deh.to.caixapostalpessoa.AnexarArquivoPublicoAlvo;TRANSACAO;1;24;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.ReimprimirListarProtocolo;TRANSACAO;2;56;SIM;
br.gov.se.sefaz.deh.to.procuradorcaixapostal.ConfirmarProcuracao;TRANSACAORELATORIO;5;299;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.ExibirCaixaPostalLidos;TRANSACAO;2;48;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.parametros.ExcluirParametroDomicilio;TRANSACAO;2;15;SIM;
br.gov.se.sefaz.deh.to.tributo.ExcluirTributo;TRANSACAO;2;30;SIM;
br.gov.se.sefaz.deh.to.tributo.InserirTributo;TRANSACAO;1;18;SIM;
br.gov.se.sefaz.deh.to.caixapostalpessoa.ExcluirCaixaPostalPessoa;TRANSACAO;2;23;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocUsuarioDEHImprimirProtConfirmReceb;TRANSACAO;1;46;SIM;
br.gov.se.sefaz.deh.to.assuntoPublicacao.AlterarAssuntoPublicacao;TRANSACAO;2;53;SIM;
br.gov.se.sefaz.deh.to.testes.TestarIntegracaoInserirMsgDiario;TRANSACAO;1;18;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciamentoListarSociosEmpresa;TRANSACAO;1;71;SIM;
br.gov.se.sefaz.deh.to.tipoDocumento.ExcluirTipoDocumento;TRANSACAO;1;14;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocUsuarioDEHInformarDocumento;TRANSACAO;3;168;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocProtocoloListarDocumentos;TRANSACAO;2;66;SIM;
br.gov.se.sefaz.deh.to.procuradorcaixapostal.AlterarProcuracao;TRANSACAORELATORIO;5;238;SIM;
br.gov.se.sefaz.deh.to.categoria.AlterarCategoria;TRANSACAO;2;49;SIM;
br.gov.se.sefaz.deh.to.tipoDocumento.AlterarTipoDocumento;TRANSACAO;2;34;SIM;
br.gov.se.sefaz.deh.to.procuradorcaixapostal.ListarProcuracoesCaixaPostal;TRANSACAO;1;27;SIM;
br.gov.se.sefaz.deh.to.diarioEletronico.parametros.AlterarParametroDiario;TRANSACAO;2;20;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.ListarDomiciliosEletronicosCredenciados;TRANSACAO;1;54;SIM;
br.gov.se.sefaz.deh.to.TransacaoRelatorioDEH;TRANSACAORELATORIO;2;34;SIM;
br.gov.se.sefaz.deh.to.assuntoPublicacao.InserirAssuntoPublicacao;TRANSACAO;1;24;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.ExibirMensagem;TRANSACAO;1;6;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocProtocoloConfirmarProtocolo;TRANSACAO;2;57;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.ExcluirComunicado;TRANSACAO;2;62;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocUsuarioDEHListarDocumentos;TRANSACAO;2;63;SIM;
br.gov.se.sefaz.deh.to.domicilioEletronico.ConsultarMensagensCaixaPostal;TRANSACAO;1;32;SIM;
br.gov.se.sefaz.deh.to.abas.ConjuntoAbasComunicado;ABAS;1;4;SIM;
br.gov.se.sefaz.deh.to.assuntoPublicacao.ExcluirAssuntoPublicacao;TRANSACAO;2;34;SIM;
br.gov.se.sefaz.deh.to.diarioEletronico.ExibirMensagemInformacao;TRANSACAO;1;26;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocUsuarioDEHIncluirDocumento;TRANSACAO;1;196;SIM;
br.gov.se.sefaz.deh.to.contatoexoficio.IdentificarContato;TRANSACAO;4;31;SIM;
br.gov.se.sefaz.deh.to.estagioProcDocumento.ExcluirEstagioProcDocumento;TRANSACAO;2;17;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocUsuarioDEHSelecionarDocPossiveis;TRANSACAO;1;20;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.ListarProcessosBloqueadosProtocolo;TRANSACAO;2;55;SIM;
br.gov.se.sefaz.deh.to.tipoDocumento.InserirTipoDocumento;TRANSACAO;1;15;SIM;
br.gov.se.sefaz.deh.to.caixapostalpessoa.InserirCaixaPostalPessoa;TRANSACAO;1;17;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.DesbloquearProcessosProtocolo;TRANSACAO;2;21;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.AlterarComunicado;TRANSACAO;2;83;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.AnexarDocProtocoloIncluirDocumento;TRANSACAO;1;78;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.CadastrarProtocoloDigitalizacao;TRANSACAO;3;129;SIM;
br.gov.se.sefaz.deh.to.procuradorcaixapostal.EditarPDFProcuracao;TRANSACAO;1;16;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciarDHExOficioListarSociosEmpresa;TRANSACAO;1;64;SIM;
br.gov.se.sefaz.scc.dao.DAOTipoLancamentoSQLBean;PERSISTENCE;10;51;SIM;
br.gov.se.sefaz.scc.dao.DAOFormaReceitaEFDSQLBean;PERSISTENCE;8;39;SIM;
br.gov.se.sefaz.scc.dao.DAOGrupoContaCorrenteSQLBean;PERSISTENCE;29;179;SIM;
br.gov.se.sefaz.scc.dao.DAOErroContaCorrenteSQLBean;PERSISTENCE;4;16;SIM;
br.gov.se.sefaz.scc.dao.DAOTipoOperacaoSQLBean;PERSISTENCE;10;51;SIM;
br.gov.se.sefaz.scc.dao.DAOContaCorrenteSQLBean;PERSISTENCE;26;218;SIM;
br.gov.se.sefaz.scc.dao.DAOLancamentoCCSQLBean;PERSISTENCE;16;157;SIM;
br.gov.se.sefaz.scc.dao.DAOTipoDocumentoCCSQLBean;PERSISTENCE;10;51;SIM;
br.gov.se.sefaz.scc.dao.DAOUtilSQLBean;PERSISTENCE;4;31;SIM;
br.gov.se.sefaz.scc.dao.DAOEstagioContaCorrenteSQLBean;PERSISTENCE;10;51;SIM;
br.gov.se.sefaz.scc.ne.EntidadeErroContaCorrente;ENTITY;8;24;SIM;
br.gov.se.sefaz.scc.ne.EntidadeGrupoSubGrupoCC;ENTITY;7;20;SIM;
br.gov.se.sefaz.scc.ne.EntidadeSubGrupoCC;ENTITY;9;26;SIM;
br.gov.se.sefaz.scc.ne.EntidadeTipoDocumentoCC;ENTITY;7;20;SIM;
br.gov.se.sefaz.scc.ne.EntidadeTipoLancamento;ENTITY;7;20;SIM;
br.gov.se.sefaz.scc.ne.EntidadeContaCorrente;ENTITY;39;116;SIM;
br.gov.se.sefaz.scc.ne.EntidadeEstagioContaCorrente;ENTITY;7;20;SIM;
br.gov.se.sefaz.scc.ne.EntidadeGrupoContaCorrente;ENTITY;7;20;SIM;
br.gov.se.sefaz.scc.ne.EntidadeFormaReceitaEFD;ENTITY;5;14;SIM;
br.gov.se.sefaz.scc.ne.EntidadeTipoOperacao;ENTITY;7;20;SIM;
br.gov.se.sefaz.scc.ne.parcelamentosimplesnacional.EntidadeDebitosPSN;ENTITY;17;50;SIM;
br.gov.se.sefaz.scc.ne.EntidadeLancamentoCC;ENTITY;37;110;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorTipoLancamento;UNDEFINED;9;59;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorContaCorrente;UNDEFINED;24;142;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorUtil;UNDEFINED;12;103;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorGrupoContaCorrente;UNDEFINED;23;129;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorFormaReceitaEFD;UNDEFINED;8;54;SIM;
br.gov.se.sefaz.scc.ng.ParametrosSCC;UNDEFINED;2;6;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorLancamentoCC;UNDEFINED;11;91;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorEstagioContaCorrente;UNDEFINED;9;58;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorTipoDocumentoCC;UNDEFINED;9;59;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorTipoOperacao;UNDEFINED;9;59;SIM;
br.gov.se.sefaz.scc.ng.GerenciadorErroContaCorrente;UNDEFINED;5;42;SIM;
br.gov.se.sefaz.scc.tb.log.GerarBatimentoLogCC;BACKGROUNDPROCESS;9;216;SIM;
br.gov.se.sefaz.scc.tb.ParcelamentoSimplesNacional;BACKGROUNDPROCESS;9;184;SIM;
br.com.se.sefaz.scc.ti.SCCIntegracaoITCMD;UNDEFINED;7;138;SIM;
br.com.se.sefaz.scc.ti.SCCIntegracaoSIT;UNDEFINED;7;97;SIM;
br.gov.se.sefaz.scc.to.grupoContaCorrente.AlterarGrupoSubGrupoCC;TRANSACAO;2;15;SIM;
br.gov.se.sefaz.scc.to.grupoContaCorrente.InserirGrupoSubGrupoCC;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.Relatorio.GerarRelatorioDebitosCC;TRANSACAO;1;81;SIM;
br.gov.se.sefaz.scc.to.tipoOperacao.InserirTipoOperacao;TRANSACAO;2;17;SIM;
br.gov.se.sefaz.scc.to.formareceitaefd.InserirFormaReceitaEFD;TRANSACAO;1;9;SIM;
